PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
ACONSELHAMENTO GENTICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUITRICO (COM DIRETRIZ DE UTILIZAO),,,,,HCO,HSO,REF,,109,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"ATENDIMENTO INTEGRAL AO RECM-NASCIDO (SALA DE PARTO, BERRIO E UTI)",,,,,HCO,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO MDICO DO INTENSIVISTA EM UTI GERAL OU PEDITRICA,,,,,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO PEDITRICO A GESTANTES (3 TRIMESTRE),,,,Seg. Ambulatorial,HCO,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,,,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM SADE BUCAL,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES
ESPECIAIS",,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,,,,,,86,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ESTABILIZAO DE PACIENTE POR MEIO DE CONTENO FSICA E/OU MECNICA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,,REF,,135,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAO COM FISIOTERAPEUTA,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA MDICA,,,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLGICA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLGICA INICIAL,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLGICA DE URGNCIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLGICA PARA AVALIAO TCNICA DE AUDITORIA,,,Seg. Odontológica,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAO COM PSICLOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
SESSO COM PSICLOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAO COM FONOAUDILOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSO COM FONOAUDILOGO,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,,,REF,,103,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Seg. Ambulatorial,,,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MDICO, DO
ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SADE",,,,,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,,,,,HCO,HSO,REF,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLNICO AMBULATORIAL PS-TRANSPLANTE DE CRNEA,,,,,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
ACOMPANHAMENTO CLNICO AMBULATORIAL PS-TRANSPLANTE DE MEDULA SSEA,,,,,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
ACOMPANHAMENTO CLNICO AMBULATORIAL PS-TRANSPLANTE HEPTICO,546/2022,03/10/2022,,,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
ACOMPANHAMENTO CLNICO AMBULATORIAL PS-TRANSPLANTE RENAL,,,,,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"ACOMPANHAMENTO CLNICO DE TRANSPLANTE HEPTICO NO PERODO DE INTERNAO DO RECEPTOR E
DO DOADOR",546/2022,03/10/2022,,,HCO,HSO,REF,PAC,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"ACOMPANHAMENTO CLNICO DE TRANSPLANTE RENAL NO PERODO DE INTERNAO DO RECEPTOR E DO
DOADOR",,,,,HCO,HSO,REF,PAC,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
AVALIAO CLNICA DIARIA ENTERAL E/OU PARENTERAL,,,,,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"AVALIAO CLNICA E ELETRNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDACO ELETRNICO
IMPLANTVEL (MARCA-PASSO, ESTIMULADOR MULTISSTIO/RESSINCRONIZADOR, DESFIBRILADOR OU
MONITOR DE EVENTOS)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CARDIOVERSO ELTRICA COM ELETROCARDIOGRAMA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,Seg. Odontológica,,,,,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"FORNECIMENTO DE EQUIPAMENTOS COLETORES E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E
UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAO -
PROUT)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
PROFILAXIA: POLIMENTO CORONRIO,,,Seg. Odontológica,,,,,,,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TERAPIA ANTINEOPLSICA ORAL PARA TRATAMENTO DO CNCER (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,64,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TESTE DE PROVOCAO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAO),536/2022,06/05/2022,,Seg. Ambulatorial,HCO,HSO,REF,,152,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A
TRATAMENTOS ANTINEOPLSICOS (COM DIRETRIZ DE UTILIZAO)",,,,Seg. Ambulatorial,,,REF,PAC,54,AVALIAES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CARDIOTOCOGRAFIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALGICO OU DIGITAL,,,,Seg. Ambulatorial,,,REF,,,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
MONITORIZAO AMBULATORIAL DA PRESSO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAO,,,,Seg. Ambulatorial,,,REF,,56,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"MONITORIZAO AMBULATORIAL DA PRESSO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAO
RESIDENCIAL DA PRESSO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAO",581/2023,12/072023,,Seg. Ambulatorial,,,REF,,162,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
MONITORIZAO DA PRESSO INTRACRANIANA,,,,,HCO,HSO,REF,,,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
